timestamp_us,class
20353469.777,1
20354701.977,1
20355876.852,1
20357105.402,1
20358335.165,1
20359564.592,1
20360311.460,1
20361538.685,1
20362779.616,1
20364022.614,1
20365234.542,1
20366134.472,1
20367381.245,1
20368613.033,1
20369870.793,1
20370563.878,1
20371791.979,1
20373018.545,1
20374242.256,1
20375381.526,1
20376749.322,1
20377991.353,1
20379221.448,1
20380424.251,1
20381326.857,1
20382555.839,1
20383790.332,1
20385021.275,1
20386738.425,1
20387964.276,1
20389200.086,1
20390388.417,1
20390767.058,1
20392102.194,1
20393321.312,1
20394588.475,1
20395753.749,1
20396990.410,1
20398230.430,1
20399466.100,1
20400676.698,1
20402186.989,1
20403410.484,1
20404638.386,1
20405765.490,1
20406989.736,1
20408216.420,1
20409440.605,1
20410669.535,1
20411880.307,1
20413116.696,1
20414340.736,1
20415539.059,1
20416385.755,1
20417614.363,1
20418853.146,1
20420087.640,1
20421273.210,1
20422506.594,1
20423744.212,1
20424971.310,1
20426104.805,1
20427784.542,1
20428996.609,1
20430230.267,1
20431080.529,1
20432312.613,1
20433542.479,1
20434766.697,1
20435579.281,1
20436868.569,1
20438097.431,1
20439333.298,1
20440475.703,1
20441713.049,1
20442951.628,1
20444182.948,1
20445390.272,1
20445733.894,1
20446964.105,1
20448198.832,1
20449425.301,1
20450636.555,1
20450903.610,1
20452136.556,1
20453367.919,1
20454602.587,1
20455773.140,1
20456551.612,1
20457788.816,1
20459022.053,1
20460252.427,1
20461002.806,1
20462229.466,1
20463464.500,1
20464701.791,1
20465904.493,1
20467140.363,1
20468375.593,1
20469604.969,1
20470800.830,1
20471041.917,1
20471893.482,1
20473152.597,1
20474351.115,1
20475574.774,1
20476752.945,1
20477987.571,1
20479215.185,1
20480450.313,1
20481240.040,1
20482477.329,1
20483709.889,1
20484945.347,1
20486151.672,1
20486939.825,1
20488176.336,1
20489395.150,1
20490625.737,1
20491764.117,1
20492984.392,1
20494216.377,1
20495456.911,1
20496275.713,1
20496601.958,1
20497827.490,1
20499055.768,1
20500291.365,1
20501492.826,1
20502338.024,1
20503986.423,1
20505317.394,1
20507346.239,1
20508533.338,1
20509721.831,1
20510954.965,1
20512179.338,1
20512558.492,1
20513784.419,1
20515016.748,1
20516252.563,1
20517451.700,1
20518245.240,1
20519477.566,1
20520703.350,1
20521929.143,1
20523096.269,1
20524323.374,1
20525559.960,1
20526856.262,1
20527590.181,1
20528778.901,1
20530014.520,1
20531275.584,1
20532472.587,1
20533304.612,1
20534587.425,1
20535784.542,1
20537014.135,1
20537773.434,1
20539009.990,1
20540229.212,1
20541466.011,1
20542584.056,1
20543822.808,1
20545033.888,1
20546274.072,1
20547486.770,1
20547852.780,1
20549103.273,1
20550327.381,1
20551563.204,1
20552773.765,1
20553489.810,1
20553856.313,1
20554200.639,1
20555495.533,1
20556745.045,1
20557987.143,1
20559017.784,1
20559350.481,1
20560388.736,1
20561620.619,0
20562867.438,0
20564110.158,0
20564983.980,0
20566225.756,0
20567454.465,0
20568697.165,0
20569904.733,0
20570341.519,0
20570586.888,0
20570776.677,0
20572050.437,0
20573275.801,0
20574514.439,0
20575641.592,0
20575932.049,0
20577584.455,0
20578823.789,0
20580057.609,0
20580896.122,0
20581751.293,0
20582981.411,0
20584223.608,0
20585451.305,0
20586227.924,0
20587589.472,0
20588807.854,0
20590037.014,0
20591166.012,0
20592410.246,0
20593669.900,0
20594894.515,0
20596098.613,0
20596973.262,0
20598209.789,0
20599441.883,0
20600680.354,0
20601433.033,0
20602241.816,0
20603475.366,0
20604703.951,0
20605920.507,0
20607110.150,0
20608330.619,0
20609550.383,0
20610823.867,0
20611522.410,0
20612738.572,0
20614010.569,0
20615247.056,0
20616437.442,0
20617676.850,0
20618900.223,0
20620128.119,0
20621284.890,0
20622582.920,0
20623815.191,0
20625043.049,0
20626206.567,0
20627521.409,0
20628775.399,0
20630023.135,0
20631313.704,0
20632675.337,0
20633903.236,0
20635141.008,0
20636359.146,0
20636770.387,0
20638010.324,0
20639241.382,0
20640477.904,0
20641621.098,0
20641840.297,0
20642000.998,0
20643443.473,0
20644669.937,0
20645907.212,0
20647097.180,0
20647989.179,0
20649224.942,0
20650464.910,0
20651690.670,0
20652414.123,0
20653656.859,0
20654884.077,0
20656542.256,0
20657148.278,0
20658383.594,0
20659613.106,0
20660854.712,0
20662078.636,0
20662946.939,0
20664183.309,0
20665410.996,0
20666696.496,0
20667445.727,0
20668729.793,0
20669954.408,0
20671191.473,0
20672347.652,0
20673743.434,0
20674908.134,0
20676128.328,0
20677334.642,0
20678575.400,0
20679815.838,0
20681057.678,0
20682258.587,0
20682568.608,0
20683806.305,0
20685037.630,0
20686270.536,0
20687459.002,0
20688464.012,0
20689684.987,0
20690924.425,0
20692153.286,0
20693273.227,0
20694513.768,0
20697034.468,0
20698531.532,0
20699781.015,0
20701017.418,0
20702240.694,0
20702672.063,0
20703816.144,0
20705047.251,0
20706283.266,0
20707472.476,0
20708717.678,0
20709948.179,0
20711179.319,0
20712383.968,0
20713910.335,0
20715149.774,0
20716411.988,0
20717773.170,0
20719051.469,0
20720283.175,0
20721505.025,0
20722613.013,0
20723840.343,0
20725077.018,0
20726304.310,0
20727506.516,0
20727780.820,0
20727942.230,0
20728098.449,0
20728919.675,0
20730160.628,0
20731388.958,0
20732629.710,0
20733415.612,0
20735106.100,0
20736339.059,0
20737577.396,0
20738301.944,0
20739527.243,0
20740756.013,0
20741983.932,0
20743109.499,0
20744344.459,0
20745586.267,0
20746826.427,0
20748049.750,0
20748950.629,0
20750188.098,0
20751423.769,0
20752660.945,0
20753447.036,0
20754679.529,0
20755910.960,0
20757146.637,0
20758279.515,0
20759545.063,0
20760819.484,0
20762057.271,0
20763283.431,0
20764129.484,0
20765360.054,0
20766595.695,0
20767827.803,0
20768625.125,0
20769864.544,0
20771095.031,0
20772327.235,0
20773456.057,0
20775100.046,0
20776325.406,0
20777566.564,0
20778361.636,0
20779595.483,0
20780826.378,0
20782053.363,0
20783269.439,0
20783528.427,0
20784842.513,0
20786074.093,0
20787308.396,0
20788478.590,0
20789700.273,0
20790945.893,0
20792201.507,0
20793397.443,0
20794429.419,0
20795677.003,0
20796918.068,0
20798179.493,0
20798994.748,0
20800236.570,0
20801467.428,0
20802701.656,0
20803893.949,0
20804758.246,0
20805990.217,0
20807218.070,0
20808447.747,0
20809037.572,0
20809298.412,0
20810135.761,0
20811370.118,0
20813013.911,0
20814226.499,0
20814552.227,0
20815787.937,0
20817024.651,0
20818258.587,0
20819461.281,0
20820280.289,0
20821513.049,0
20822743.286,0
20823969.163,0
20825096.716,0
20826433.926,0
20827595.305,0
20828828.739,0
20829626.663,0
20830886.422,0
20832086.247,0
20833325.311,0
20834527.582,0
20834791.303,0
20835154.709,0
20836379.809,0
20837610.685,0
20838842.766,0
20839987.093,0
20840801.293,0
20842027.026,0
20843257.224,0
20844498.523,0
20845681.824,0
20846918.249,0
20848149.166,0
20849388.782,0
20850922.893,0
20852159.145,0
20853384.677,0
20854606.029,0
20855764.767,0
20857019.373,0
20858241.883,0
20859462.236,0
20860670.015,0
20861906.876,0
20863143.238,0
20864380.580,0
