timestamp_us,wall_us,gpu_us
1421818.398,4881.326,4761.600
1426703.485,5141.496,4988.928
1431854.326,5066.059,4904.960
1436923.533,4858.894,4683.776
1442248.507,5339.664,5030.912
1447600.285,5248.210,5133.312
1452862.156,4807.919,4676.608
1457676.282,5156.089,5004.288
1462847.153,5131.507,5059.584
1467981.424,4853.272,4682.752
1472844.934,4805.118,4642.816
1477660.090,5224.644,5066.752
1482890.983,5068.932,4928.512
1487964.721,5040.359,4658.176
1493011.865,5155.715,5013.504
1498169.983,5095.545,4925.440
1503272.600,4645.818,4507.648
1507921.135,5124.466,4955.136
1513052.437,5090.709,4954.112
1518145.152,4929.367,4715.520
1523084.081,4797.628,4637.696
1528256.185,5186.034,5084.160
1533451.386,4861.155,4723.712
1538320.442,4822.775,4680.704
1543148.537,5158.270,5014.528
1548309.371,5005.613,4943.872
1553326.023,4888.069,4715.520
1558221.929,5058.032,4918.272
1563284.617,5291.590,5023.744
1568590.261,5407.703,5283.840
1574009.980,5098.367,4952.064
1579117.028,5182.573,5012.480
1584307.254,5007.095,4873.216
1589328.346,4723.461,4478.976
1594062.344,5200.627,5055.488
1599272.922,5059.848,4902.912
1604336.366,4841.730,4659.200
1609181.784,5157.898,5007.360
1614767.193,5204.211,4947.968
1619983.061,5230.293,5092.352
1625223.463,5189.389,5013.504
1630436.753,5069.057,4998.080
1635514.954,4835.316,4676.608
1640353.789,4875.971,4705.280
1645239.643,5149.773,4986.880
1650398.474,4861.897,4696.064
1655272.548,4939.663,4828.160
1660220.242,5214.073,5039.104
1665450.812,5021.782,4905.984
1670474.856,4800.376,4689.920
1675279.031,5150.873,4956.160
1680432.186,5175.649,4920.320
1685617.598,4862.849,4734.976
1690495.799,5133.063,4966.400
1695642.943,5127.097,4976.640
1701144.053,4918.058,4712.448
1706072.670,4830.414,4692.992
1710910.056,5109.921,4898.816
1716027.352,5051.223,4902.912
1721112.291,4868.761,4679.680
1725989.284,5083.808,4921.344
1731079.493,5056.842,4938.752
1736145.859,4911.920,4684.800
1741069.731,5248.045,5137.408
1746327.711,5110.495,4972.544
1751447.596,4935.642,4688.896
1756391.498,4786.307,4624.384
1761183.180,5228.232,5078.016
1766426.357,5078.787,4918.272
1771512.030,4829.329,4643.840
1776348.801,5201.148,5036.032
1781555.636,5125.909,4943.872
1787042.677,4910.957,4659.200
1791961.258,5121.342,4982.784
1797132.497,5222.712,4999.168
1802363.610,4860.317,4717.568
1807230.054,5099.505,4930.560
1812338.498,5153.798,4980.736
1817501.936,5047.463,4911.104
1822557.344,4816.105,4654.080
1827383.351,5388.912,5228.544
1832785.312,5029.609,4889.600
1837823.240,4616.263,4452.352
1842448.447,5257.535,5122.048
1847717.342,5152.769,4932.608
1852880.794,4977.350,4834.304
1857866.576,5231.575,5083.136
1863108.491,5212.660,4978.688
1868331.375,4963.161,4826.112
1874124.996,4963.930,4709.376
1879097.741,5237.131,5087.232
1884345.487,4926.322,4703.232
1889280.524,4969.843,4803.584
1894256.296,5196.361,5059.584
1899457.935,5180.369,4922.368
1904649.073,4969.157,4673.536
1909627.012,5147.300,5020.672
1914778.760,5043.320,4897.792
1919831.535,4985.089,4844.544
1924826.761,5096.119,4911.104
